,,Notes,PDG Archive,PDG Rust,PDG Snow,PDG Detritus
,Mission_Mechs_Dead,"Not currently used, but we'll need it","""Mes condoléances pour la perte de vos pilotes... ils se sont bien battus. Nous nous souviendrons d'eux."",

""Sachez que la Corporation Archive pleure la perte de vos pilotes. Nous savons que vous vous mettez en danger pour nous."",","""Cette bataille n'est pas déterminante dans notre guerre - mais d'autres comme celle-ci, pourraient l'être. Nous ne pouvons pas nous permettre d'en perdre d'autres."",

""La bataille est perdue mais pas la guerre - cependant nous ne pouvons pas continuer à perdre du terrain. Vous devez vous concentrer."",
","""Vos pilotes sont le c?ur de votre machine de guerre. Sans eux, vous n'avez aucune chance.""","""J'ai demandé que les noms de vos pilotes tombés au combat soient ajoutés à notre mur commémoratif. Leur sacrifice ne sera pas oublié."",

""Les Mechs de #squad sont puissants, mais je crains qu'ils ne soient pas assez nombreux pour les piloter."","
,,,,,,
Generic Objectives,,"Some missions use generic objectives, so the CEO can pull from these lists to address those objectives ",,,,
,Mission_MechHealth_Briefing,This bonus objective is for limiting damage to the Mechs themselves.,"""Notre équipement et les ressources pour réparer votre Mechs sont limités - essayez d'encaisser un minimum de dégâts."",
","""Nous pouvons à peine faire fonctionner nos villes, et encore moins réparer vos Mechs s'ils sont endommagés. Choisissez vos tirs avec soin."",

""Ce n'est pas Pinnacle ici - nous n'avons pas assez d'équipes d'ingénieurs pour réparer vos Mechs s'ils subissent des dégâts importants."",","""Il y aura peu de temps entre les escarmouches et nous avons besoin de vous et vos Mechs pleinement opérationnels. Faites preuve de prudence."",

""Nos équipes de réparation robotisées sont hors service. Il sera difficile de vous assister pour la réparation de vos Mechs avant le prochain combat. Essayez de gardez ça en tête."",","""Malheureusement, la majeure partie de notre division d'ingénierie est occupée. Si #squad subissent trop de dégâts, nous ne pourrons peut-être pas les réparer."",

""Nous n'avons aucun personnel pour réparer vos Mechs s'ils sont endommagés. S'il vous plaît, faites ce que vous pouvez pour encaisser un minimum de dégâts."","
,Mission_MechHealth_Success,< 4 damage to mechs,"""Vos Mechs semblent presque intacts ! C'est un soulagement... cela nous permettra d'affecter nos équipes de réparation pour renforcer les abris des réfugiés."",

""Vos Mechs sont à peine égratignés ! Cela nous permettra d'affecter nos équipes de réparation aux urgences dans d'autres régions."",","""Je vois que vous et #squad ont survécu au pire et réussi à subsister. Excellent."",

""Les équipes de réparation me rapportent que vos Mechs ont à peine quelques égratignures - bien négocié. Nous pouvons réaffecter les équipes de contrôle des dommages à la sécurité civile et à la protection de la ville."",

""Vos Mechs n'ont presque pas subi de dégâts. Cela signifie que nous pouvons allouer des ressources supplémentaires et des équipes de réparation pour aider les centres de réfugiés ailleurs sur R.S.T."",
","""Votre capacité à vaincre les Veks avec un minimum de dégâts sur les Mechs est admirable. Si seulement tous les humains pouvaient montrer une telle préoccupation pour leurs homologues artificiels."",","""Un Succès - et seulement des dégâts mineurs sur vos Mechs, Commandant, enfin... des dégâts réparables par Détritus."",

""Vos Mechs n'ont subi que des dégâts mineurs, mes ingénieurs sont certains qu'ils peuvent remettre #squad rapidement sur le terrain."","
,Mission_MechHealth_Failure,>= 4 damage to mechs,"""On me dit que nous devrons réassigner trois équipes d'ingénieurs pour réparer vos Mechs. Je vous avais déjà dit que nos équipes d'ingénieurs avaient déjà assez de travail comme ça..."",","""Vos Mechs sont lourdement endommagés, plusieurs équipes d'ingénieurs ont été réassignées pour les réparer en ce moment même, même les équipes dédiées à la sécurité civile."",

""Les dégâts causés à vos Mechs sont importants - nous devrons appeler les équipes de réparation des centres villes si nous voulons rester affutés. Et nous le devons impérativement."",

""Vos Mechs sont tellement déchiquetés qu'ils sont prêts pour la casse. Il faudra que nos équipes de réparation travaillent deux fois plus dur pour les remettre en état de combattre !"",

""Nous avons dû rappeler des ingénieurs des centres de réfugiés pour réparer les dégâts causés à #squad. Ne laissez pas cela se reproduire."",

","""Ne laissez pas la coque renforcée de votre Mech vous conduire à de l'auto-satisfaction. Réparer son exosquelette est un processus lourd en matériaux avec un coût considérable."",

""Il semble que vous êtes prêt à risquer vos Mechs et leurs pilotes. Les deux sont nécessaires dans la guerre à venir. S'il vous plaît, soyez plus prudent."",","""Je n'ai eu d'autre choix que d'assigner toutes les divisions d'ingénierie d'urgence pour réparer votre Mechs. Cela compromettra sérieusement les efforts de défense de Détritus."",

""Nos équipes de réparation rapportent - ah, je cite... 'il y a plus de métal déchiqueté que de Mech' et concluent avec un rapport plutôt pessimiste des chances de réparation."",

""Nos pilotes rapportent que #squad sont tellement endommagés qu'ils ne rentrent quasiment pas dans les baies d'amarrage. Nous devrons affecter du personnel supplémentaire pour les réparations."","
,,,,,,
,Mission_GridHealth_Briefing,Bonus objective for keeping power grid damage to a minimum,"""Les anciennes centrales électriques de cette île peuvent à peine répondre aux besoins de vos Mechs. S'il vous plaît essayez d'éviter tout dommage sur le Réseau !"",","""Le Réseau ici peut à peine alimenter vos Mechs. Combattez efficacement, ou vous serez dans le rouge plus vite que vous ne le pensez."",","""Nos noyaux de réacteurs sont gelés comme tout le reste. Nous ne pouvons pas économiser de l'énergie supplémentaire. Faites de la protection du Réseau une priorité."",


""Ma puissance de sortie dans cette région est... <Connection Perdue>... <Puissance Réseau Faible>"",","""Le Réseau ici ne peut fournir qu'une puissance limitée. S'il subit des dégâts, vous et #squad n'auront peut-être pas assez de puissance pour combattre."",

""Le Réseau ici n'a jamais été destiné à alimenter du matériels comme vos Mechs. Nous avons, néanmoins, réussi à le faire fonctionner, mais à peine - minimisez les dégâts sur le Réseau tant que vous le pouvez."","
,Mission_GridHealth_Success,< 3 grid damage,,"""On dirait que le Réseau a tenu - grâce à votre gestion habile du combat. Nous avons besoin de tout le pouvoir dont nous disposons pour la guerre."",","""Tout fonctionne à un rendement optimal. Je vous remercie."",","""Le Réseau maintenu, Commandant. Le secteur a toujours le pouvoir. Détritus vous remercie vous et #squad."",

""L'alimentation du Réseau a été ininterrompue. Vous avez combattu de façon conservatrice et efficace, louable."","
,Mission_GridHealth_Failure,>= 3 grid damage,"""Les Veks sont partis, mais les rapports sur les pertes arrivent toujours. Et nous n'avons même pas commencé à évaluer les dommages causés à l'infrastructure de l'île."", 

""Les Veks ont causé d'énormes dégâts dans la région malgré vos efforts. Nous devrons peut-être réexaminer nos tactiques."",","""Beaucoup de vies ont été perdues aujourd'hui... si cela continue, il n'y aura plus de gens à protéger."", 

""Le Réseau a subi des dégâts considérables, et les pertes... inacceptables. J'ai besoin de vous pour protéger mon peuple, ne les laisser pas se faire massacrer !"",

""Êtes-vous venu du futur pour nous ruiner ? Le Réseau est endommagée, nous n'avons aucune idée si nous pouvons le réparer - et les rapports des victimes ? Ils arrivent toujours."",
","""Avec autant de dégâts sur le Réseau d'Énergie, des frères mécaniques supplémentaires doivent s'arrêter. D'autres sont endommagés de manière permanente et ne peuvent pas être réactivés."", ","""Le Réseau a subi trop de dégâts durant le combats, Commandant. Détritus devra réévaluer ses chances de survie dans la région."",

""Le Réseau s'est effondré. Nous devrons rediriger la puissance des secteurs de Détritus déjà en difficulté pour garder l'île intacte."",

""Je sais que vous avez fait de votre mieux avec le peu que le Réseau pouvait fournir, Commandant. C'était une maigre chance, mais nous avons dû le prendre."","
,,,,,,
,Mission_KillAll_Briefing,Bonus objective for killing all Vek before the turn limit runs out,"""Les Veks se retirent lorsque la situation sur le terrain est défavorable, puis ils se regroupent et attaquent à nouveau ailleurs. Balayez-les pour de bon cette fois!"",","""Ne laissez pas un seul Vek survivre - si c'est le cas, ils recréeront une autre ruche et nous frapperons à nouveau. Tuez-les tous."",

""Exterminez tous les Veks - si vous ne le faites pas, nous devrons de nouveau mener cette bataille dans quelques jours. N'en laissez pas un seul s'échapper."",

""Continuez à tirer jusqu'à ce que chaque Vek soit mort - puis tirez leur dessus à nouveau. N'en laissez aucun s'échapper, sinon ils nous reviendront de nouveau en quelques jours."",
","""Toute vie a de la valeur. Mais je ferai une exception pour les Veks. Ils doivent tous être éliminés."",

""Ces Veks étaient responsables de la perte de dix millions de vies artificielles qui vivaient à côté de fermes serveurs. Arrêtez-les avant que plus de vies ne soient perdues."",

""Mon créateur ne m'a pas appris à rechercher la 'vengeance', mais elle n'a pas eu à regarder l'horreur Vek."",

""Ces Veks ont détruit trois routines d'I.A. en gestation dans l'un de nos Vestiges. Nous devons les empêcher d'assassiner d'autres de mes enfants.""","""La présence Vek doit être réduite à 0% sinon ils se regrouperont et attaqueront à nouveau."",

""Commandant, nous devons exterminer tous les Veks dans ce secteur - aucun ne peut rester en vie, et aucun ne doit s'échapper."","
,Mission_KillAll_Success,All Vek Dead,"""Ces Veks ne nous causeront plus de problèmes ! Bien joué, à tous !"",

""Les Veks ont été anéantis ! Beau spectacle, #squad !"",","""Un essaim Vek de moins à s'inquiéter. J'ai lu les rapports de bataille - je suis impressionné. Vous et #squad avez été très minutieux dans l'extermination."",

""Votre rigueur dans l'assainissement sur le champ de bataille est appréciée. Les équipes de nettoyage signalent qu'aucun Vek n'a survécu."",

""Premièrement, nous brûlons les Veks à la surface, puis nous creuserons et nous les exterminerons comme vous l'avez fait ici."",
","""Mes capteurs souterrains ne signalent aucun signe de vie. Les Veks sont tous morts. Vous avez rendu le secteur à nouveau sûr."",","""Les rapports indiquent que la présence de Vek dans votre secteur est à 0% et le succès de la mission à 100%. Vous et #squad avez nos remerciements."",

""Les Veks ne sont plus, et un autre secteur a été récupéré. Nous vous remercions, Commandant - vous et #squad."",

""Votre intervention a été couronnée de succès à 100%, Commandant. Les capteurs enregistrent aucune activité Vek dans le secteur."","
,Mission_KillAll_Failure,Some Vek survive,"""Vous avez laissé quelques Veks revenir à leurs ruches souterraines. Malheureusement, ils réapparaîtront bientôt et attaqueront une autre région."", 

""Un jour, nous découvrirons où ces Veks se sont enfuis pour leur livrer le combat ! L'Ancienne Terre ne serait pas restée sans rien faire !"",","""Vous avez laissé échapper un Vek ? C'est inacceptable - vous n'avez pas gagné, vous avez simplement retardé le combat."",

""Si vous ne pouvez pas contenir une zone et la nettoyer des Veks, je trouverai quelqu'un qui le pourra."",

""Les équipes de nettoyage signalent déjà que les Veks survivants se sont enfouis trop profondément pour être attaqués - probablement en train de faire une autre ruche."",

""J'avais besoin d'un nettoyage complet de Veks, pas d'une tentative à moitié ratée"",

""Je pensais que j'avais été clair - tous les Veks doivent mourir. Tous."",
","""Votre échec ici a mis en danger d'autres régions de l'île. Je dois réaffecter mes ressources pour les protéger."",","""Les capteurs indiquent que les Veks se sont échappés, et sont en ce moment même, en train de se rassembler. Je sais que vous avez fait de votre mieux, Commandant, mais ce n'était clairement pas une victoire."",

""Vous avez chassé les Veks, mais assez ont survécu pour rétablir leur nombre dans le prochain cycle de reproduction - alors nous devrons les combattre à nouveau."","
,,,,,,
,Mission_Block_Briefing,"Bonus objective for ""Blocking"" Vek from emerging in the first place. As it's not blocking *all* Vek, and even Vek you do block might emerge, it's hard to give a proper excuse for why this is a good thing!","""Cette région a toujours des anciennes routes vierges et un design topiaire ! Ne laissez pas la surface aux Veks, ils la ravageront !"",","""Cette région est l'une des dernières terres cultivables de R.S.T. Ne laissez pas les Veks la détruire."",","""Il y a des micro-robots qui couvrent la surface de cette région. Si les Veks brisent la surface, cela pourrait coûter des millions de vies."",

""Un écosystème fragile de nouvelle vie mécanique évolue ici dans ces plaines silicatées. Si trop de Veks les creusent, l'écosystème sera dévasté."",","
""L'A.C.I.D. peut détruire des ruches sous ce secteur - mais nous avons besoin que vous empêchiez les Veks de faire surface, le temps que l'A.C.I.D. fasse son travail."",

""Nous avons essayé de forer dans les ruches Veks dans cette région, mais ils remontent à la surface pour s'échapper. Gardez les autant que possible piégés sous terre."","
,Mission_Block_Success,3 Vek Blocked,"""Tant que les Veks restent piégés sous terre, nos reliques de l'Ancienne Terre et les gens sont en sécurité. Merci, #squad."",","""La façon dont vous avez empêché les Veks de remonter à la surface était impressionnante. Et je ne suis pas facilement impressionné. Vous et #squad avez mon respect."",","""Merci d'avoir minimisé votre impact sur la surface. Je reçois encore des Pings positifs de la majorité des micro-robots de la région."", ","""#squad a réussi, Commandant ! Vous avez contenu l'invasion Vek - le secteur est à nous !"",

""Nous pouvons maintenant occuper le secteur en toute sécurité, Commandant. Les Veks qui étaient sous terre ne sont plus."" "
,Mission_Block_Failure,"Did not block 3 Vek
","""Nos réserves naturelles sur la surface ont été détruites pendant les combats - il en reste très peu de la région. Mais au moins les Veks sont partis maintenant."" ","""Les Veks qui ont creusé la terre pour remonter à la surface ont détruit nos récoltes. Mon peuple mourra - pas des Veks, mais de la famine.""","""Une vie s'éteint pour chaque milliseconde écoulée dans ce chaos. Je redirige ma vue sur votre écran afin que vous puissiez contempler le désastre..."",","""Les tentatives de Détritus pour détruire le souterrain Vek ont échoué - trop de Veks ont pu s'échapper. Nous devrons redoubler d'efforts."","
,,,,,,
Universal Missions,,Every corporation island could use these missions,,,not used on Pinnacle,
